country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
Fiji,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300,18300
Finland,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000
France,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000
Gabon,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000
Gambia,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100
Georgia,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500
Germany,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000
Ghana,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000
Greece,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000
Grenada,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Guatemala,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000
Guinea,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000
Guinea-Bissau,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100
