country	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Sierra Leone	0.425	60.4	NA	9.48	22.5	23.9	135	135	3.82	4.05	4.82	42.5	72200	7	30	0.123	1540	0.157
Singapore	1	84.8	NA	1.54	23.8	22.9	121	121	5.17	5.3	629	1730	709	-2	84	0.295	91400	1
Slovak Republic	0.537	77.4	0.309	13.3	26.9	26.3	130	130	5.07	5.09	930	1410	48100	10	50	0.227	33800	0.979
Slovenia	0.548	81.1	0.265	14.9	27.4	26.6	130	130	5.18	5.2	1590	2150	20100	10	61	0.223	35600	0.991
Solomon Islands	0.242	68.5	NA	1.37	27.2	28.9	124	124	4.45	4.67	99.6	107	28000	8	39	0.0638	2180	0.335
Somalia	0.456	58.5	NA	0.5	22	22.7	132	132	4.22	4.33	NA	NA	627000	0	9	0.243	636	0.383
South Africa	0.669	66.3	0.184	10.2	26.9	29.5	131	131	4.48	4.71	286	649	1210000	9	43	0.454	12000	0.757
South Korea	0.814	82.6	0.297	19.1	24	23.3	117	117	4.79	4.85	848	1440	97500	8	54	0.19	38900	1
South Sudan	0.199	59.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0.266	1980	0.113
Spain	0.806	83.1	0.337	11.8	27.5	26.3	122	122	5.22	5.12	2100	2880	500000	10	57	0.419	36600	0.999
Sri Lanka	0.186	77.5	0.165	0.81	22	23.1	125	125	4.49	4.69	31.3	70	62700	4	38	0.0538	12800	0.958
St. Kitts and Nevis	0.308	NA	NA	10.6	28.2	30.5	129	129	4.71	4.89	405	669	260	NA	NA	0.25	30300	NA
St. Lucia	0.188	75.5	0.206	12.1	24.6	27.2	125	125	4.58	4.8	282	465	610	NA	55	0.207	13100	0.884
St. Vincent and the Grenadines	0.526	72.3	NA	4.99	25.4	27.5	125	125	4.53	4.78	240	278	390	NA	58	0.13	11700	0.872
Sudan	0.349	70.3	NA	2.56	22.4	23.2	130	130	4.52	4.54	25	83.9	NA	-2	16	NA	4580	0.366
Suriname	0.661	72	NA	6.56	25.5	27.8	125	125	4.51	4.75	235	492	156000	5	41	0.294	14300	0.845
Sweden	0.877	82.5	0.22	9.5	26.4	25.1	123	123	5.15	4.96	3820	4710	407000	10	84	0.47	48000	0.993
Switzerland	0.738	84	0.265	11.4	26.2	24.1	120	120	5.29	5.24	4610	7810	39500	10	85	0.386	59300	0.999
Syria	0.548	69.8	NA	1.49	26.9	28.9	127	127	4.66	4.83	44.4	96.6	184000	-7	14	0.112	2930	0.912
Tajikistan	0.273	70.3	NA	3.39	23.8	23.9	130	130	4.17	4.32	13.1	49.1	139000	-3	21	0.234	3310	0.97
Tanzania	0.345	66.7	0.146	7.86	22.5	23.1	131	131	4.13	4.32	20.8	30.9	886000	-1	36	0.369	3150	0.299
Thailand	0.507	78.1	0.217	7.08	23	24.4	121	121	4.99	5.12	134	179	511000	7	37	0.139	18500	0.988
Timor-Leste	0.309	70.8	NA	0.74	20.6	21.5	123	123	4.2	4.4	31.7	56.9	14900	7	38	0.385	6090	0.535
Togo	0.422	64.4	NA	1.92	21.9	22.7	131	131	3.86	4.07	18	40.6	54400	-2	32	0.187	1700	0.161
Tonga	0.231	71.8	0.39	3.92	31	34.3	126	126	5.08	4.91	140	172	720	NA	NA	0.0741	6310	0.934
Trinidad and Tobago	0.532	74.2	0.221	6.16	26.4	28.3	125	125	4.62	4.81	516	861	5130	10	41	0.324	29400	0.934
Tunisia	0.693	78.3	0.266	1.05	25.2	27.9	129	129	4.63	4.87	129	238	155000	NA	42	0.249	11500	0.909
Turkey	0.756	78.9	0.355	3.02	26.7	28.3	124	124	4.69	4.8	510	678	770000	9	40	0.173	25900	0.973
Turkmenistan	0.52	70.1	NA	5	25.3	24.7	129	129	4.54	4.64	63	106	470000	-9	19	0.25	19400	0.987
Tuvalu	0.632	NA	NA	2.14	NA	NA	NA	NA	NA	NA	568	568	30	NA	NA	0.0625	4020	0.841
Uganda	0.244	65.7	0.121	16.4	22.4	22.5	135	135	4.07	4.28	10.2	46.7	201000	-1	26	0.349	1980	0.185
Ukraine	0.695	70.5	NA	17.5	25.4	26.2	132	132	4.8	4.88	133	234	579000	6	30	0.208	9080	0.962
United Arab Emirates	0.868	73.3	0.144	0.52	28.1	29.6	122	122	5.18	5.28	1080	1450	71000	-8	71	0.5	65100	0.986
United Kingdom	0.837	81	0.357	13.2	27.4	26.9	124	124	5.42	5.37	2940	3500	242000	10	82	0.3	41200	0.991
United States	0.825	78.6	0.239	9.7	28.5	28.3	119	119	5.07	5.15	4440	8360	9150000	10	75	0.237	58200	1
Uruguay	0.954	77	0.326	8.99	26.4	26.6	124	124	4.81	4.79	669	998	175000	10	70	0.231	21900	0.966
Uzbekistan	0.504	70.3	0.128	3.61	25.3	25.4	124	124	4.26	4.41	39.1	82.4	425000	-9	22	0.291	7100	1
Vanuatu	0.254	64.7	0.288	0.96	26.8	28.5	132	132	4.61	4.74	143	157	12200	NA	43	0	2930	0.341
Venezuela	0.882	75.3	0.298	7.6	27.4	28.1	124	124	4.54	4.84	232	663	882000	-3	18	0.222	8600	0.939
Vietnam	0.366	74.5	0.243	3.91	20.9	21.1	122	122	4.52	4.68	31.4	82.9	310000	-7	35	0.267	7760	0.835
Yemen	0.373	68.1	NA	0.2	24.4	26.1	126	126	4.45	4.58	15.3	63.2	528000	-2	16	0.0097	2580	0.591
Zambia	0.441	63.2	0.134	3.56	20.7	23.1	132	132	4.34	4.46	43.9	72.9	743000	7	37	0.168	3600	0.264
Zimbabwe	0.322	61.4	0.15	4.96	22	24.6	132	132	4.13	4.33	NA	NA	387000	1	22	0.346	2420	0.362
Holy See	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
